orig.ident,nCount_RNA,nFeature_RNA,mouse,p28,percent_mito,log10GenesPerUMI,percent_ribo,S.Score,G2M.Score,Phase,pANN,DF_classifications,RNA_snn_res.0.2,seurat_clusters,th17_signature1,th1_signature1,th2_signature1,treg_signature1,RNA_snn_res.0.8,combined_clusters
UK-3136-1-p28wt-473,4045,1627,1,p28wt,1.9777503090234856,0.8903410292841467,23.48578491965389,0.06998118290574673,-0.05018772547717271,S,0.1345208845208845,Singlet,0,1,-0.5239625615315494,0.48948334901158674,-0.12808728640662856,-0.772777260096963,1,Th1
UK-3136-1-p28wt-473,3695,1407,1,p28wt,3.1123139377537212,0.8824647808704551,27.253044654939107,-0.06840297356795942,0.027276867447224518,G2M,0.11486486486486487,Singlet,0,2,-0.3229088967109893,-0.19767517686395047,0.4436764567390299,-0.7425321893923701,2,Th1
UK-3136-1-p28wt-473,5614,1897,1,p28wt,2.778767367296046,0.8743209278774143,31.68863555397221,-0.043824528526569845,-0.12387084802878948,G1,0.09582309582309582,Singlet,0,5,-0.49634103964636334,-0.028372908187017876,-0.11503479746580536,-0.16247418274713044,5,Th1
UK-3136-1-p28wt-473,3416,1400,1,p28wt,2.019906323185012,0.8903670954934403,20.725995316159253,0.05782877316592777,-0.06316834952929211,S,0.1941031941031941,Singlet,0,1,-0.2851711820548647,-0.24388772198580716,0.7116437647496945,-0.4547754627665572,1,Th1
UK-3136-1-p28wt-473,3656,1489,1,p28wt,2.4890590809628006,0.8905105776335124,23.167396061269148,-0.01880123229734812,-0.053498678692135176,G1,0.11486486486486487,Singlet,0,5,-0.44828703105492285,0.6411183969964203,-0.09500027104555345,-0.7789921605142823,5,Th1
UK-3136-1-p28wt-473,3960,1582,1,p28wt,1.8434343434343434,0.889237779697742,20.2020202020202,-0.03239290110631102,0.05745783235199847,G2M,0.406019656019656,Singlet,0,1,-0.5135346638505244,0.5000740589839557,-0.11360005401022988,-0.7673285722792622,1,Th1
UK-3136-1-p28wt-473,4917,1903,1,p28wt,1.5049827130364042,0.8883274922819144,22.859467154769167,-0.012793178100914654,-0.047308317519731635,G1,0.1511056511056511,Singlet,0,5,-0.507517625463396,-0.0051040917837867905,-0.1372025441991208,-0.23714120280776863,5,Th1
UK-3136-1-p28wt-473,3270,1364,1,p28wt,1.651376146788991,0.8919538418414169,22.385321100917434,0.058877353258723175,-0.05679203074155345,S,0.12530712530712532,Singlet,0,1,-0.45716215412287925,-0.12270093371963792,-0.11276792288348454,-0.4196261679079579,1,Th1
UK-3136-1-p28wt-473,2745,1336,1,p28wt,2.5500910746812386,0.9090498650519785,13.55191256830601,-0.08324343762439308,-0.024409556190962328,G1,0.071867321867321865,Singlet,0,5,-0.46917500152186703,0.29147022499077724,-0.10848636213423632,-0.08505865063707863,5,Th1
UK-3136-1-p28wt-473,3536,1409,1,p28wt,2.234162895927602,0.8873890705837046,27.686651583710407,0.08541569429335012,0.007754249159622889,S,0.1977886977886978,Singlet,0,2,-0.27045953136957146,0.2530204048682777,0.341712867351201,-0.22935808768229626,2,Th1
UK-3136-1-p28wt-473,2946,1254,1,p28wt,4.955872369314324,0.8930786045378137,20.12898845892736,-0.030469045373174394,-0.004908878025685237,G1,0.09213759213759214,Singlet,0,1,-0.4287054009278858,-0.3746105934959503,0.2282035621330256,-0.4338840011907132,1,Th1
UK-3136-1-p28wt-473,4806,1644,1,p28wt,3.412401165210154,0.8734629780524038,32.27215980024969,-0.05375684394144503,-0.0679293011982863,G1,0.11363636363636363,Singlet,0,2,-0.4746414519801024,0.3209909961682572,-0.10073783893713861,-0.782544970456848,2,Th1
UK-3136-1-p28wt-473,2489,1100,1,p28wt,2.812374447569305,0.8955743193153506,24.146243471273603,-0.04935642837733616,0.0377064577069911,G2M,0.07493857493857493,Singlet,0,2,-0.46119505543354394,-0.1626252172002583,0.7043745592344769,-0.37397372422288055,2,Th1
UK-3136-1-p28wt-473,3228,1316,1,p28wt,1.5489467162329618,0.8889469880580063,20.662949194547707,-0.05831614675625106,0.02213505220944173,G2M,0.14803439803439802,Singlet,0,5,-0.4799110860982903,0.8327190335736392,0.2184538872326776,-0.03574678535002351,5,Th1
UK-3136-1-p28wt-473,4474,1721,1,p28wt,1.9892713455520787,0.8863462989705712,18.685739830129638,-0.006425254259323457,-0.08661031751939754,G1,0.26535626535626533,Singlet,0,2,-0.5296267449307384,0.5606725322132874,-0.1139640513480557,-0.0929681099389098,2,Th1
UK-3136-1-p28wt-473,2868,1334,1,p28wt,1.1854951185495117,0.9038566282122362,21.96652719665272,-7.948551761073341e-4,-0.05349419145394421,G1,0.09090909090909091,Singlet,0,2,-0.31224062428930943,0.20247395397574397,-0.11266119486533835,0.17882591260755565,2,Th1
UK-3136-1-p28wt-473,3470,1431,1,p28wt,2.478386167146974,0.891340666519796,19.62536023054755,-0.060232651288165476,-0.04662977266830526,G1,0.2113022113022113,Singlet,0,5,-0.5112493298112097,0.08972229258545106,-0.0646975742014618,-0.7803905171194431,5,Th1
UK-3136-1-p28wt-473,3026,1281,1,p28wt,2.842035690680767,0.8927509762283619,25.842696629213485,0.0314017589196639,-0.022180272124122075,S,0.11793611793611794,Singlet,0,2,-0.47065551184073906,-0.07434559361317794,0.28231675080302737,-0.3085462360939589,2,Th1
UK-3136-1-p28wt-473,2750,1234,1,p28wt,2.8727272727272726,0.8988124833758186,21.163636363636364,0.09349109593202413,-0.10249375442975978,S,0.12714987714987716,Singlet,0,2,-0.4774091518146533,0.031026660768616376,-0.1003782190763698,-0.13650909672375244,2,Th1
UK-3136-1-p28wt-473,3082,1311,1,p28wt,2.2712524334847504,0.893594797573879,25.308241401687216,-0.07855209560906964,-0.129570085134514,G1,0.0386977886977887,Singlet,0,1,-0.44620006451670086,0.03541887845174152,0.24279809258394278,-0.6932677007818911,1,Th1
UK-3136-1-p28wt-473,3120,1321,1,p28wt,2.467948717948718,0.8931782305674523,27.692307692307693,-0.11831309050197288,0.009227910908350928,G2M,0.10933660933660934,Singlet,0,2,-0.47860911497354713,-0.11093724182641884,0.3921943243091926,-0.048418817939142156,2,Th1
UK-3136-1-p28wt-473,3179,1286,1,p28wt,2.422145328719723,0.8877735709833909,25.951557093425603,-0.08273505727391178,-0.10119127548649193,G1,0.14496314496314497,Singlet,0,2,-0.4378216275655482,-0.07370229750400004,-0.111144854099636,-0.08368680829936637,2,Th1
UK-3136-1-p28wt-473,3492,1405,1,p28wt,1.9186712485681559,0.8884025892309052,24.3127147766323,0.03456722262269664,-0.033488686296377024,S,0.1541769041769042,Singlet,0,2,-0.23248273934053398,0.53003243217987694,-0.0818775037087243,-0.7206993694379938,2,Th1
UK-3136-1-p28wt-473,3371,1449,1,p28wt,3.3817858202313853,0.8960557133370426,23.4945120142391,-0.09078762680963073,-0.03129449362906925,G1,0.18181818181818182,Singlet,0,2,-0.45231921806420194,-0.4101193318806576,0.22930796742708898,-0.21972443551268195,2,Th1
UK-3136-1-p28wt-473,2874,1193,1,p28wt,4.210160055671538,0.8895915045490849,29.123173277661795,0.05300525639846819,-0.11025409116663185,S,0.07063882063882064,Singlet,0,2,-0.27679473324569753,-0.0703871495546694,-0.08394164811264132,-0.3923720404054999,2,Th1
UK-3136-1-p28wt-473,3208,1441,1,p28wt,2.0885286783042396,0.9008707510251579,21.290523690773068,0.04485561451748232,-0.03551547747136827,S,0.22481572481572482,Singlet,0,2,-0.47018578350328083,0.22540131555415788,-0.10694181855400663,0.3614179768106779,2,Th1
