orig.ident,nCount_RNA,nFeature_RNA,mouse,p28,percent_mito,log10GenesPerUMI,percent_ribo,S.Score,G2M.Score,Phase,pANN,DF_classifications,RNA_snn_res.0.2,seurat_clusters,th17_signature1,th1_signature1,th2_signature1,treg_signature1,RNA_snn_res.0.8,combined_clusters
UK-3136-5-p28floxed-471,2641,1191,5,p28floxed,4.316546762589928,0.8989245912721164,24.46043165467626,0.024947279621323357,-0.04273296021016562,S,0.0912751677852349,Singlet,0,2,-0.29478383608172853,-0.313351110964995,-0.08511794758770445,-0.020098906704815733,2,Th1
UK-3136-5-p28floxed-471,3512,1503,5,p28floxed,4.242596810933941,0.8960400902326832,21.981776765375855,0.011665609559792636,-0.04194471496399946,S,0.21208053691275167,Singlet,0,2,0.6520098012179456,-0.4623685284916396,-0.11333072779472145,-0.10942691530756032,2,Th1
UK-3136-5-p28floxed-471,3703,1503,5,p28floxed,1.9713745611666216,0.8902651429512493,24.84472049689441,0.08604910114152779,0.010725738431898307,S,0.2657718120805369,Singlet,0,2,-0.5015475661020112,-0.14455721447588088,-0.11173498732452955,-0.2797442133959367,2,Th1
UK-3136-5-p28floxed-471,2845,1220,5,p28floxed,2.179261862917399,0.8935397563710867,26.572934973637963,-0.02992255510584814,-0.09740146327140685,G1,0.1818791946308725,Singlet,0,2,-0.4598560657261341,-0.06466258887934329,-0.09335853688754221,-0.7307783830027536,2,Th1
UK-3136-5-p28floxed-471,4247,1735,5,p28floxed,2.18978102189781,0.8928406927141651,21.238521309159406,0.09509884999427015,-0.07661426415131026,S,0.24026845637583893,Singlet,0,5,0.02695148712414086,0.03866697033109834,-0.13320208111822132,-0.5061246146446355,5,Th1
UK-3136-5-p28floxed-471,2724,1221,5,p28floxed,4.001468428781204,0.8985530045722422,23.27459618208517,-0.02615739049340772,-0.04294729240374466,G1,0.087248322147651,Singlet,0,2,-0.4554637326669125,-0.11358103545830128,0.2731004579518738,0.0539212341446772,2,Th1
UK-3136-5-p28floxed-471,3670,1532,5,p28floxed,1.880108991825613,0.8935644203084395,21.06267029972752,0.06765117226307701,-0.08543421200406408,S,0.1953020134228188,Singlet,0,5,-0.4822540491790838,0.7492616265672931,-0.09562586889505859,0.062257265804640416,5,Th1
UK-3136-5-p28floxed-471,2934,1406,5,p28floxed,1.738241308793456,0.9078648985903238,16.80299931833674,-0.08176889007864005,-0.039159446501847744,G1,0.187248322147651,Singlet,0,5,-0.5087318908827494,0.47916054138590414,-0.10586337579891088,-0.42217635388085795,5,Th1
UK-3136-5-p28floxed-471,3491,1562,5,p28floxed,1.6614150673159553,0.9014186386550753,18.18963047837296,-0.005063745994476843,-0.0047551316755364,G1,0.16711409395973154,Singlet,0,5,-0.5250161800472173,0.3863687660835927,-0.13481033437169174,0.1594896400249196,5,Th1
UK-3136-5-p28floxed-471,3167,1443,5,p28floxed,2.1155667824439535,0.9024804190257302,16.79823176507736,0.047633755035347086,-0.028153522269250136,S,0.1865771812080537,Singlet,0,5,-0.4950451994021405,0.4669960348011186,-0.08543378066140025,-0.23858741612182177,5,Th1
UK-3136-5-p28floxed-471,2157,1061,5,p28floxed,2.642559109874826,0.9075739017082526,19.33240611961057,-0.09705332623199152,-0.044417054596804714,G1,0.10738255033557047,Singlet,0,5,-0.2413714375653207,-0.1464244442558882,-0.10825306862559435,-0.715501380276458,5,Th1
UK-3136-5-p28floxed-471,3709,1535,5,p28floxed,1.8873011593421407,0.8926531568315051,22.782421137772985,-0.10400663086160841,-0.05510699641687383,G1,0.16375838926174496,Singlet,0,5,-0.5015733399551142,0.16281080988887853,-0.0916116644904223,-0.19269184978938259,5,Th1
UK-3136-5-p28floxed-471,2998,1336,5,p28floxed,1.400933955970647,0.8990387778648523,19.11274182788526,0.003497723677110709,-0.09094062741826207,S,0.15570469798657718,Singlet,0,5,-0.22542160152022195,0.44154446336858155,-0.1632637904406015,-0.7652626788892856,5,Th1
UK-3136-5-p28floxed-471,2821,1329,5,p28floxed,1.9851116625310175,0.9052637917800903,21.30450194966324,-0.08499486698126972,-0.04177110740583567,G1,0.08389261744966443,Singlet,0,1,-0.46105442446515815,0.11059941188141131,0.27954921581741177,-0.65736283336257,1,Th1
UK-3136-5-p28floxed-471,3040,1343,5,p28floxed,3.125,0.8981307927425786,25.09868421052632,0.08458644789342193,0.06725517190641248,S,0.1912751677852349,Singlet,0,2,-0.49496461811359943,0.4035293907702905,-0.10253367765584886,-0.48861409772495384,2,Th1
UK-3136-5-p28floxed-471,3278,1327,5,p28floxed,2.7760829774252596,0.8882873402471105,22.757779133618058,-0.004727361358633067,0.021826315871873253,G2M,0.17651006711409395,Singlet,0,5,0.14194923588846903,-0.12543752392858032,-0.12208462874680277,-0.4140664860447202,5,Th1
UK-3136-5-p28floxed-471,2839,1167,5,p28floxed,2.571327932370553,0.8881911253610492,18.245861218738995,-0.06473557565168993,-0.08547847415928271,G1,0.06711409395973154,Singlet,0,1,-0.44026596885519054,-0.13616731413765815,-0.11571217580747456,-0.1666183583278823,1,Th1
UK-3136-5-p28floxed-471,2518,1214,5,p28floxed,3.6934074662430505,0.9068415619797875,20.33359809372518,-0.11109230594486141,-0.0701729326397141,G1,0.23087248322147652,Singlet,0,5,-0.4887889733887849,0.06619161363883275,-0.06947040925378344,-0.4590286862320473,5,Th1
